cargo;salario;nome;telefone;email;endereco;cidade;estado;cep;anoNascimento;sexo
Estagiário;2497.33;Sr. Pedro Lucas Correia;+55 (051) 6287 2916;ana-clarafarias@lopes.com;Quadra Thomas Cavalcanti, 15;Mineiros;GO;67396-730;1992;Feminino
Desenvolvedor;8511.56;João Felipe Viana;+55 (061) 0875 6448;kda-costa@barbosa.net;Praça Mirella Azevedo;Jataí;GO;48790860;1969;Masculino
Técnico;4394.61;Ana Luiza Moreira;+55 81 7825 9242;grocha@uol.com.br;Avenida Lorenzo da Rosa;Anápolis;GO;21352-005;1984;Feminino
Diretor;16257.07;Francisco Araújo;84 9451 7179;pirescaroline@almeida.com;Jardim Silva, 17;Aparecida de Goiânia;GO;94580-813;1960;Masculino
Diretor;18754.39;Clarice Silveira;21 9663-6796;marcela88@melo.com;Colônia de Lopes, 86;Catalão;GO;40567-188;1967;Feminino
Técnico;3737.24;Lucas da Mota;0800 008 2539;camposstephany@yahoo.com.br;Morro Ana Carolina Moraes, 2;Rio Verde;GO;69592285;1976;Masculino
Diretor;19563.14;Lara Costa;51 4508 1011;sarahalves@teixeira.br;Fazenda de Teixeira, 46;Santa Helena;GO;14872-462;2000;Masculino
Gerente;11121.74;Agatha Ribeiro;+55 41 4825-3729;isabelly04@gmail.com;Estrada Barros;Mineiros;GO;23981822;1994;Masculino
Consultor;8296.62;Murilo da Luz;11 9590-2235;fernandesenrico@da.com;Loteamento Ferreira, 69;Rio Verde;GO;87154425;1967;Feminino
Assistente;3239.45;Esther Cardoso;51 5351 4462;rfreitas@da.com;Lago de Moraes;Caiapônia;GO;00025-854;1996;Masculino
Desenvolvedor;8463.82;André Porto;0500-106-4959;ian49@lopes.com;Sítio Camila Pires, 76;Jataí;GO;92518484;1994;Masculino
Gerente;11979.25;Luigi Pereira;51 7244 7524;piresmanuela@bol.com.br;Residencial de da Paz, 94;Aparecida de Goiânia;GO;64256660;1970;Feminino
Diretor;19362.17;Rafael Monteiro;(041) 8973 4089;das-nevesleticia@yahoo.com.br;Praia de Ferreira, 66;Anápolis;GO;28290784;1973;Masculino
Assistente;3398.99;Stephany Moraes;0800 475 6707;vpinto@duarte.org;Viela Giovanna da Rosa, 199;Catalão;GO;05865580;1988;Feminino
Desenvolvedor;7495.81;Luiz Gustavo Silva;(031) 8993 7460;talmeida@da.br;Colônia Guilherme Silva, 2;Jataí;GO;35642-396;1981;Masculino
Consultor;9215.69;João Felipe Fogaça;(021) 1973-3592;fernando59@peixoto.com;Jardim Rafaela das Neves, 882;Luziânia;GO;88892-937;1974;Masculino
Desenvolvedor;8415.68;Nicolas Moraes;+55 (071) 5289 1919;rodrigomelo@yahoo.com.br;Avenida Noah da Cunha;Rio Verde;GO;62669-018;1974;Masculino
Analista;5859.64;Antônio Fernandes;21 4819 1092;ana-clara44@yahoo.com.br;Rodovia Emanuella Pires, 95;Jataí;GO;88479022;1992;Masculino
Assistente;3668.98;João Gabriel Sales;(071) 0991 6143;saleslorenzo@rodrigues.net;Vereda de Rocha, 68;Caiapônia;GO;88907375;1994;Masculino
Consultor;9304.85;André Nascimento;61 7858-7473;lpeixoto@monteiro.com;Pátio de Alves, 641;Caiapônia;GO;13384399;1990;Feminino
Estagiário;1594.33;Otávio Teixeira;84 0365-3395;nathansouza@hotmail.com;Pátio Barros, 22;Anápolis;GO;59391-474;1982;Feminino
Técnico;4200.54;Ana Lívia da Cruz;+55 (051) 8946 8054;manuela81@hotmail.com;Praia Fogaça, 2;Rio Verde;GO;34716313;2003;Masculino
Analista;5402.62;Rodrigo Ramos;(031) 2368 1612;enzo25@uol.com.br;Sítio de Nascimento, 15;Catalão;GO;67462736;1966;Masculino
Estagiário;1690.21;Vitor Hugo Azevedo;+55 61 5089 6113;gabriela51@uol.com.br;Chácara de Farias, 35;Goiânia;GO;35639-778;1968;Feminino
Gerente;10835.64;Maria Julia Lopes;51 3939 0145;teixeiracatarina@campos.net;Via de Fogaça, 96;Caiapônia;GO;66312813;1964;Feminino
Diretor;15489.54;Srta. Maria Luiza das Neves;84 3972 3550;sferreira@correia.com;Praça de da Cunha;Aparecida de Goiânia;GO;84851-407;1960;Masculino
